qrCode,buildingId,unitNumber,type,brandModel,status,المبنى,تاريخ أول تسجيل,تاريخ آخر زيارة,عدد الزيارات المسجلة,,,,,,,
BS-502-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-502,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-502-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-502,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-502-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-502,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-502-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-502,غسالة,,,الحي التجاري,,,,,,,,,,
BS-502-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-502,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-503-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-503,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-503-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-503,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-503-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-503,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-503-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-503,غسالة,,,الحي التجاري,,,,,,,,,,
BS-503-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-503,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-602-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-602,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-602-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-602,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-602-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-602,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-602-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-602,غسالة,,,الحي التجاري,,,,,,,,,,
BS-602-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-602,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-603-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-603,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-603-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-603,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-603-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-603,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
