building_id,netsuite_id,unit_name,Location,unit_type
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6767,OK-102,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6766,OK-101,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,STUDIO
a967194c-ba82-46d4-b602-46b4ec973b42,6717,M04,الادارة العامة نسائم صلالة : 10-الحي التجاري,TWO_BEDROOM
a967194c-ba82-46d4-b602-46b4ec973b42,6751,M03,الادارة العامة نسائم صلالة : 10-الحي التجاري,TWO_BEDROOM
a967194c-ba82-46d4-b602-46b4ec973b42,6716,M02,الادارة العامة نسائم صلالة : 10-الحي التجاري,TWO_BEDROOM
a967194c-ba82-46d4-b602-46b4ec973b42,6792,M01,الادارة العامة نسائم صلالة : 10-الحي التجاري,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9772,HS-528,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9771,HS-527,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9770,HS-526,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9769,HS-525,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9768,HS-524,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9767,HS-523,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9766,HS-522,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9765,HS-521,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9764,HS-428,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9763,HS-427,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9762,HS-426,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9761,HS-425,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9760,HS-424,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9759,HS-423,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9758,HS-422,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9757,HS-421,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9756,HS-328,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9755,HS-327,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9754,HS-326,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9753,HS-325,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9752,HS-324,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9751,HS-323,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9750,HS-322,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9749,HS-321,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9748,HS-228,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9747,HS-227,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9746,HS-226,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9745,HS-225,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9744,HS-224,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9743,HS-223,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9742,HS-222,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9741,HS-221,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9740,HS-128,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9739,HS-127,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9738,HS-126,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9737,HS-125,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9736,HS-124,الادارة العامة نسائم صلالة : الحصيلة-26,TWO_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9735,HS-123,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9734,HS-122,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,9733,HS-121,الادارة العامة نسائم صلالة : الحصيلة-26,THREE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,10529,HS-08,الادارة العامة نسائم صلالة : الحصيلة-26,ONE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,10528,HS-07,الادارة العامة نسائم صلالة : الحصيلة-26,ONE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,10527,HS-06,الادارة العامة نسائم صلالة : الحصيلة-26,ONE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,10526,HS-05,الادارة العامة نسائم صلالة : الحصيلة-26,ONE_BEDROOM
73ac3372-31fd-4adc-8da4-f96fc65674ba,10525,HS-04,الادارة العامة نسائم صلالة : الحصيلة-26,ONE_BEDROOM
